company,Prev_Close,Current_Price,Changes,comments
Chembond Chemica,246.85,262.40,6.3,weekly nse groupall 2022-12-02
Indian Hume Pipe,158.30,168.25,6.29,weekly nse groupall 2022-12-02
Max Ventures and Ind,164.65,175.00,6.29,weekly nse groupall 2022-12-02
HT Media,19.95,21.20,6.27,weekly nse groupall 2022-12-02
Emami Realty,70.20,74.60,6.27,weekly nse groupall 2022-12-02
DCM Shriram In,69.60,73.95,6.25,weekly nse groupall 2022-12-02
HUDCO,49.70,52.80,6.24,weekly nse groupall 2022-12-02
Dabur India,556.55,591.15,6.22,weekly nse groupall 2022-12-02
Equitas Small Fin,53.40,56.65,6.09,weekly nse groupall 2022-12-02
Aarey Drugs & Ph,37.75,40.05,6.09,weekly nse groupall 2022-12-02
Max Financial Servic,665.75,706.20,6.08,weekly nse groupall 2022-12-02
RHI Magnesita India,773.15,820.05,6.07,weekly nse groupall 2022-12-02
Rama Phosphates,253.35,268.70,6.06,weekly nse groupall 2022-12-02
Alphageo (India),273.00,289.55,6.06,weekly nse groupall 2022-12-02
Modison L,61.20,64.90,6.05,weekly nse groupall 2022-12-02
Lemon Tree Hotels,93.40,99.05,6.05,weekly nse groupall 2022-12-02
Raj Television Netwo,46.40,49.20,6.03,weekly nse groupall 2022-12-02
Sharda Cropchem,409.95,434.45,5.98,weekly nse groupall 2022-12-02
Talbros Auto.,461.95,489.55,5.97,weekly nse groupall 2022-12-02
Intellect Design,443.80,470.30,5.97,weekly nse groupall 2022-12-02
Cyient Ltd.,796.70,844.30,5.97,weekly nse groupall 2022-12-02
DCM Shriram,838.60,888.65,5.97,weekly nse groupall 2022-12-02
Britannia Ind.,"4,183.70","4,432.90",5.96,weekly nse groupall 2022-12-02
Steel ExchangeIndia,12.60,13.35,5.95,weekly nse groupall 2022-12-02
Emami,433.70,459.50,5.95,weekly nse groupall 2022-12-02
Onward Technolog,315.05,333.65,5.9,weekly nse groupall 2022-12-02
Force Motors,"1,460.40","1,546.40",5.89,weekly nse groupall 2022-12-02
Gayatri Highways,0.85,0.90,5.88,weekly nse groupall 2022-12-02
Heidelberg Cement In,195.50,207.00,5.88,weekly nse groupall 2022-12-02
Paradeep Phospha,55.40,58.65,5.87,weekly nse groupall 2022-12-02
Sonata Software,552.95,585.25,5.84,weekly nse groupall 2022-12-02
Madhucon Project,5.15,5.45,5.83,weekly nse groupall 2022-12-02
Fourth Dimension Sol,84.55,89.45,5.8,weekly nse groupall 2022-12-02
Shree Digvijay,66.40,70.25,5.8,weekly nse groupall 2022-12-02
ADF Foods Ltd.,771.75,816.50,5.8,weekly nse groupall 2022-12-02
IDBI Bank,50.95,53.90,5.79,weekly nse groupall 2022-12-02
Mahindra EPC Irrigat,95.15,100.65,5.78,weekly nse groupall 2022-12-02
Tarsons Products,692.50,732.50,5.78,weekly nse groupall 2022-12-02
MarathonNextgenRea,236.40,250.05,5.77,weekly nse groupall 2022-12-02
Symphony,880.60,931.05,5.73,weekly nse groupall 2022-12-02
Nath Bio-Genes,160.10,169.25,5.72,weekly nse groupall 2022-12-02
